id,date,character,event
master-1,1877,Wolf in Schönbrunn Menagerie,Markus Epper watches a she-wolf (Book 3)
master-2,1891,Doctor and kittens,(Born 1885)
master-3,1891,Mainhard Moser,(Born in 1880 in Munich)
master-4,1891,Thomas Persoon,"(Born in 1872 in Rotterdam; settles in Ava, NW of Utica)"
master-5,1907,Mainhard Moser,"Settles in Dresden, NY"
master-6,1907,Thomas Persoon,Daughter Lisa born
master-7,1912,Wolfram Pichler,Born in Wannsee
master-8,1914,Doctor and kittens,Studying dysentery in The Philippines
master-9,1914,Mainhard Moser,Niece sara Purton born
master-10,1920,Jaagup,Jaagup born
master-11,1920,Monika Woodapple,Woodapple born
master-12,1920,Thomas Persoon,"Publishes ""On Rare Boleti of NYS"""
master-13,1925,Samuel's father,Father born
master-14,1925,"Dr. J. A. Barend de Hühl, Ackwieno",de Hühl director of the Berlin zoo (45 years old)
master-15,1925,Mainhard Moser,Sara Purton collects mushroom (age 11)
master-16,1928,Wolfram Pichler,Intern in Potsdam
master-17,1928,Hans-Myrl,Born in Seebüll
master-18,1928,Thomas Persoon,Catalogue of North American Boleti
master-19,1929,Jaagup,Pekka's father born
master-20,1930,Wolfram Pichler,First dated image (he is 18)
master-21,1930,Bear,Bear born
master-22,1930,Hyena and dingo,Hyena born in Südwestafrika
master-23,1930,Mainhard Moser,Sarah Purton dies (16 yrs. old)
master-24,1930,Thomas Persoon,Sends condolances to Moser
master-25,1931,Hyena and dingo,Dingo born
master-26,1931,"Dr. J. A. Barend de Hühl, Ackwieno",Ackwieno researches lemurs (30 years old)
master-27,1931,Mainhard Moser,Publishes Keys to Agarics and Boleti (51 years old)
master-28,1934,Wolfram Pichler,"Studying in Potsdam, draws for Ackwieno"
master-29,1934,"Dr. J. A. Barend de Hühl, Ackwieno",Ackwieno publishes his paper in French
master-30,1934,Thomas Persoon,Demonstrates blue hyphae to Moser in Herkimer
master-31,1935,Hyena and dingo,Dingo collected in Coober Pedy
master-32,1935,Thomas Persoon,Memoirs of a Life in Mycology
master-33,1936,"Dr. J. A. Barend de Hühl, Ackwieno",Ackwieno publishes his paper in German
master-34,1936,Mainhard Moser,Moves to a house in Canandaigua
master-35,1937,Martha,Born (in Germany)
master-36,1937,Hans Raaflaub,Born in Breslau
master-37,1937,Wolfram Pichler,He is 25. Observing Venus; meets Monika
master-38,1937,Monika Woodapple,Observing the hyena; meets Wolfram
master-39,1937,Bear,Bear begins scratching
master-40,1937,Mainhard Moser,Revision of Keys to Agarics and Boleti (he is 57)
master-41,1937,Thomas Persoon,"Dies (65 years old), survived by daughter Lisa"
master-42,1938,Wolfram Pichler,Hired in the observatory; essay on comets
master-43,1938,Monika Woodapple,Submits 1st essay
master-44,1939,Wolfram Pichler,Himmels- erscheinungen der Planeten  (age 27)
master-45,1939,Monika Woodapple,"Publishes 1st essay, submits 2nd essay on dingos"
master-46,1939,Hyena and dingo,March: hyena dies  June: dingo transferred
master-47,1941,Monika Woodapple,"Publishes 2nd essay, observes  the bear in Berlin"
master-48,1941,Hans-Myrl,Zeiss factory repurposed for military uses
master-49,1941,Mainhard Moser,De Americae Septentrionalis boletes
master-50,1943,Hyena and dingo,November: dingo escapes and is shot
master-51,1944,Martha,Picks mushrooms in the Hohe Schrecke
master-52,1944,Samuel's father,In the Army
master-53,1944,Jaagup,Jaagup deported (age 24)
master-54,1944,Bear,Bear stops (16 years)
master-55,1945,Monika Woodapple,Starts work at Dählhölzli zoo
master-56,1945,Bear,Fall of Berlin; bear is stabbed
master-57,1945,"Dr. J. A. Barend de Hühl, Ackwieno","Berlin zoo bombed, de Hühl dies"
master-58,1945,Mainhard Moser,Living Fabric of Plants (age 65)
master-59,1951,Samuel's father,Discharged; in college
master-60,1951,Hans-Myrl,Factory resumes making scientific instruments
master-61,1951,Doctor and kittens,Dies from amoebic dysentery (age 66)
master-62,1953,Catherine,"Catherine born (8 years older than S) Alice, Texas"
master-63,1953,Anneliese,"Anneliese born, in Roggwil, Switzerland"
master-64,1953,Mainhard Moser,Dies (83 years old)
master-65,1955,Martha,"Marries Nikolaus (she's 18, he's 27) Potsdam."
master-66,1955,Samuel's father,Medical school
master-67,1955,Anneliese,(Mother calls her Annabelle; dog is Knuddelbär)
master-68,1955,Hans Raaflaub,FC Basel football team
master-69,1956,Martha,Trains as an astronomer in Potsdam (age 19)
master-70,1956,Hans Raaflaub,"Marries first wife Marlene (he is 20, she is 19)"
master-71,1957,Martha,"Possible affair with Pichler (he is 45, she's 20.)"
master-72,1957,Samuel's father,Quits medical school
master-73,1957,Anneliese,Parents move to Berne
master-74,1957,Hans Raaflaub,Works at the Henkel plant in Basel
master-75,1957,Wolfram Pichler,Possible affair with Martha
master-76,1957,Monika Woodapple,"Retires from Dählhölzli zoo, Bern"
master-77,1957,Adela's mother,Born
master-78,1959,Martha,Daughter born (she is unnamed).
master-79,1959,Samuel's father,Works as an orderly
master-80,1960,Martha,First husband and daughter die. Moves to NYC.
master-81,1960,Paul,Born
master-82,1961,Martha,Works in the NY Botanical Garden.
master-83,1961,Anneliese,Father gives her a toy farm
master-84,1962,Martha,Takes classes in botany at Fordham.
master-85,1962,Samuel's father,Fordham University
master-86,1962,Wolfram Pichler,"Works for Zeiss in Jena, making power supplies"
master-87,1962,Hans-Myrl,Meets Wolfram
